name,opponent_team_name,is_home,season,gameweek,team_name,position,y,y_Naive,y_LGBMRegressor_no_exog,y_LGBMRegressor_with_exog,y_LSTMWithReLU
Aaron Ramsdale,Nottingham,True,24,1,Arsenal,GK,2.0,,,,
Benjamin White,Nottingham,True,24,1,Arsenal,DEF,1.0,,,,
Bukayo Saka,Nottingham,True,24,1,Arsenal,MID,10.0,,,,
Declan Rice,Nottingham,True,24,1,Arsenal,MID,2.0,,,,
Eddie Nketiah,Nottingham,True,24,1,Arsenal,FWD,8.0,,,,
Fábio Ferreira Vieira,Nottingham,True,24,1,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Nottingham,True,24,1,Arsenal,FWD,0.0,,,,
Gabriel Martinelli Silva,Nottingham,True,24,1,Arsenal,MID,5.0,,,,
Gabriel dos Santos Magalhães,Nottingham,True,24,1,Arsenal,DEF,1.0,,,,
Jakub Kiwior,Nottingham,True,24,1,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Nottingham,True,24,1,Arsenal,MID,0.0,,,,
Jurriën Timber,Nottingham,True,24,1,Arsenal,DEF,0.0,,,,
Kai Havertz,Nottingham,True,24,1,Arsenal,MID,2.0,,,,
Karl Hein,Nottingham,True,24,1,Arsenal,GK,0.0,,,,
Kieran Tierney,Nottingham,True,24,1,Arsenal,DEF,0.0,,,,
Leandro Trossard,Nottingham,True,24,1,Arsenal,MID,1.0,,,,
Martin Ødegaard,Nottingham,True,24,1,Arsenal,MID,2.0,,,,
Oleksandr Zinchenko,Nottingham,True,24,1,Arsenal,DEF,0.0,,,,
Reiss Nelson,Nottingham,True,24,1,Arsenal,MID,0.0,,,,
Thomas Partey,Nottingham,True,24,1,Arsenal,MID,2.0,,,,
William Saliba,Nottingham,True,24,1,Arsenal,DEF,5.0,,,,
Aaron Ramsdale,Crystal Palace,False,24,2,Arsenal,GK,6.0,,,,
Benjamin White,Crystal Palace,False,24,2,Arsenal,DEF,7.0,,,,
Bukayo Saka,Crystal Palace,False,24,2,Arsenal,MID,3.0,,,,
David Raya Martin,Crystal Palace,False,24,2,Arsenal,GK,0.0,,,,
Declan Rice,Crystal Palace,False,24,2,Arsenal,MID,3.0,,,,
Eddie Nketiah,Crystal Palace,False,24,2,Arsenal,FWD,5.0,,,,
Fábio Ferreira Vieira,Crystal Palace,False,24,2,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Crystal Palace,False,24,2,Arsenal,FWD,0.0,,,,
Gabriel Martinelli Silva,Crystal Palace,False,24,2,Arsenal,MID,3.0,,,,
Gabriel dos Santos Magalhães,Crystal Palace,False,24,2,Arsenal,DEF,1.0,,,,
Jakub Kiwior,Crystal Palace,False,24,2,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Crystal Palace,False,24,2,Arsenal,MID,1.0,,,,
Jurriën Timber,Crystal Palace,False,24,2,Arsenal,DEF,0.0,,,,
Kai Havertz,Crystal Palace,False,24,2,Arsenal,MID,2.0,,,,
Karl Hein,Crystal Palace,False,24,2,Arsenal,GK,0.0,,,,
Kieran Tierney,Crystal Palace,False,24,2,Arsenal,DEF,0.0,,,,
Leandro Trossard,Crystal Palace,False,24,2,Arsenal,MID,0.0,,,,
Martin Ødegaard,Crystal Palace,False,24,2,Arsenal,MID,11.0,,,,
Oleksandr Zinchenko,Crystal Palace,False,24,2,Arsenal,DEF,1.0,,,,
Reiss Nelson,Crystal Palace,False,24,2,Arsenal,MID,0.0,,,,
Thomas Partey,Crystal Palace,False,24,2,Arsenal,MID,3.0,,,,
William Saliba,Crystal Palace,False,24,2,Arsenal,DEF,8.0,,,,
Aaron Ramsdale,Fulham,True,24,3,Arsenal,GK,1.0,,,,
Benjamin White,Fulham,True,24,3,Arsenal,DEF,1.0,,,,
Bukayo Saka,Fulham,True,24,3,Arsenal,MID,8.0,,,,
David Raya Martin,Fulham,True,24,3,Arsenal,GK,0.0,,,,
Declan Rice,Fulham,True,24,3,Arsenal,MID,2.0,,,,
Eddie Nketiah,Fulham,True,24,3,Arsenal,FWD,5.0,,,,
Fábio Ferreira Vieira,Fulham,True,24,3,Arsenal,MID,7.0,,,,
Gabriel Fernando de Jesus,Fulham,True,24,3,Arsenal,FWD,1.0,,,,
Gabriel Martinelli Silva,Fulham,True,24,3,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Fulham,True,24,3,Arsenal,DEF,0.0,,,,
Jakub Kiwior,Fulham,True,24,3,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Fulham,True,24,3,Arsenal,MID,1.0,,,,
Jurriën Timber,Fulham,True,24,3,Arsenal,DEF,0.0,,,,
Kai Havertz,Fulham,True,24,3,Arsenal,MID,1.0,,,,
Karl Hein,Fulham,True,24,3,Arsenal,GK,0.0,,,,
Kieran Tierney,Fulham,True,24,3,Arsenal,DEF,0.0,,,,
Leandro Trossard,Fulham,True,24,3,Arsenal,MID,1.0,,,,
Martin Ødegaard,Fulham,True,24,3,Arsenal,MID,2.0,,,,
Oleksandr Zinchenko,Fulham,True,24,3,Arsenal,DEF,1.0,,,,
Reiss Nelson,Fulham,True,24,3,Arsenal,MID,0.0,,,,
Thomas Partey,Fulham,True,24,3,Arsenal,MID,1.0,,,,
William Saliba,Fulham,True,24,3,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Manchester Utd,True,24,4,Arsenal,GK,2.0,,,,
Benjamin White,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
Bukayo Saka,Manchester Utd,True,24,4,Arsenal,MID,4.0,,,,
David Raya Martin,Manchester Utd,True,24,4,Arsenal,GK,0.0,,,,
Declan Rice,Manchester Utd,True,24,4,Arsenal,MID,10.0,,,,
Eddie Nketiah,Manchester Utd,True,24,4,Arsenal,FWD,2.0,,,,
Fábio Ferreira Vieira,Manchester Utd,True,24,4,Arsenal,MID,4.0,,,,
Gabriel Fernando de Jesus,Manchester Utd,True,24,4,Arsenal,FWD,6.0,,,,
Gabriel Martinelli Silva,Manchester Utd,True,24,4,Arsenal,MID,5.0,,,,
Gabriel dos Santos Magalhães,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
